"","age_0","age_1","age_2","age_3","age_4","age_5","age_6","age_7","age_8","age_9","age_10","age_11","age_12+","Year","Region"
"X1",0.000228800653197493,0.103312503946745,0.372213417152834,0.169761165367466,0.114625296303366,0.116606256767194,0.0840670868333045,0.0215587885807914,0.00907918376199726,0.00457071725514108,0.00148831926365316,0.00114725132449688,0.00134121278981363,1994,"Both"
"X2",0.000143396154775289,0.0587400392408398,0.247909766313287,0.423201868474492,0.105893632373256,0.0776168369061389,0.0551878471828321,0.0137992297435974,0.00751367118122086,0.00577628064316533,0.00143237438877911,0.00142983068112156,0.00135522671649504,1995,"Both"
"X3",3.11613264815404e-05,0.0654647382396941,0.186321843185146,0.173977794987845,0.286767528353755,0.154293459907182,0.0786841670650134,0.0355806192273049,0.0099161681154675,0.0037884216124605,0.00189477104402596,0.00161541290664183,0.00166391402898191,1996,"Both"
"X4",0.000289588526848788,0.269686020236937,0.167322955548781,0.149585933646617,0.143869993228849,0.123559010036412,0.102229298622843,0.0263539305505031,0.0115754551460553,0.00234269144825222,0.00174912127641645,0.000827598546612781,0.000608403184871918,1997,"Both"
"X5",6.79750497347265e-05,0.0729575444213034,0.434734942701829,0.195778331019649,0.112661430176561,0.0596584958715888,0.0653822090957464,0.0337006895970126,0.0191790798669898,0.00385880261007069,0.000769980529360639,0.00080763106809947,0.000442887992054798,1998,"Both"
"X6",8.08009868310388e-05,0.0958253551561097,0.193936704561035,0.301120372743369,0.21781424140953,0.0755329521553738,0.0614576180590515,0.0306762293724004,0.0140692234521126,0.00619027131600984,0.00117225342833698,0.00142979870765558,0.000694178652184336,1999,"Both"
"X7",0,0.198282127078036,0.114227453306649,0.160582942665475,0.245335715947158,0.167410895158457,0.0689733028567553,0.0156395681328871,0.0178628664973373,0.00530409118467643,0.00398766854619648,0.00167779443226316,0.000715574194108933,2000,"Both"
"X8",3.54030145657092e-05,0.287198341746206,0.233284802742735,0.183644736615436,0.0870815955410311,0.0912668677441368,0.0759990166052686,0.0281958532876105,0.00813992206019065,0.00196201990136998,0.00161729994682586,0.00110213393009232,0.000472006864531249,2001,"Both"
"X9",0.000216437005251333,0.0729621238247743,0.182788214044489,0.299950462295286,0.248372614455074,0.0757138748220354,0.0639671830199971,0.0401118814057862,0.0106577566935185,0.00317357704478717,0.00099565936807565,0.00048058612521747,0.000609629895707361,2002,"Both"
"X10",5.48309932798634e-06,0.163046915931508,0.145399362424629,0.234009803939621,0.21525254200546,0.135005333110847,0.0494775341418322,0.0343066492010059,0.0176809210612956,0.00388077989898721,0.000500235401796491,0.00061992378349399,0.000814516000196798,2003,"Both"
"X11",4.69694151188235e-05,0.130568912135361,0.15214955669752,0.267739681399927,0.129654939463362,0.1380089195781,0.104923573130222,0.0408066171278336,0.0223977852980456,0.00860151592241571,0.00226443307493344,0.00199968681415219,0.000837409943007861,2004,"Both"
