
Initial statistics: 69 variables; iteration 0; function evaluation 0; phase 1
Function value 2.1354158e+04; maximum gradient component mag 5.8250e+05
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.22747  5.82502e+05 |  2 -0.33150 -3.74816e+05 |  3 -0.04533 -1.56479e+04
  4  0.00000 -5.93718e-01 |  5  0.00000 -2.60308e-01 |  6  0.00000 -9.09550e-01
  7  0.00000 -1.51373e+00 |  8  0.00000 -2.50243e+00 |  9  0.00000 -4.11735e+00
 10  0.00000 -6.75668e+00 | 11  0.00000 -1.10382e+01 | 12  0.00000 -1.79347e+01
 13  0.00000 -2.89547e+01 | 14  0.00000 -4.63344e+01 | 15  0.00000 -7.32185e+01
 16  0.00000 -1.13816e+02 | 17  0.00000 -1.73514e+02 | 18  0.00000 -2.59244e+02
 19  0.00000 -3.80549e+02 | 20  0.00000 -5.48671e+02 | 21  0.00000 -7.64923e+02
 22  0.00000 -1.04006e+03 | 23  0.00000 -1.41099e+03 | 24  0.00000  2.06556e+04
 25  0.00000  1.98916e+04 | 26  0.00000  1.94119e+04 | 27  0.00000  1.95666e+04
 28  0.00000  1.92227e+04 | 29  0.00000  1.53316e+04 | 30  0.00000  1.58682e+04
 31  0.00000  1.31984e+04 | 32  0.00000  1.41517e+04 | 33  0.00000  1.45603e+04
 34  0.00000  1.44918e+04 | 35  0.00000  1.17182e+04 | 36  0.00000  7.23044e+03
 37  0.00000  5.42084e+03 | 38  0.00000  4.16195e+03 | 39  0.00000  4.68691e+02
 40  0.00000  2.52935e+03 | 41  0.00000  3.81766e+03 | 42  0.00000  1.83391e+03
 43  0.00000 -4.40320e+03 | 44  0.00000 -3.98149e+03 | 45  0.00000 -5.22230e+03
 46  0.00000 -1.01089e+04 | 47  0.00000 -1.17263e+04 | 48  0.00000 -1.04645e+04
 49  0.00000 -1.37248e+04 | 50  0.00000 -1.73984e+04 | 51  0.00000 -2.19126e+04
 52  0.00000 -2.88084e+04 | 53  0.00000 -3.81236e+04 | 54  0.00000 -3.92128e+04
 55  0.00000 -4.46199e+04 | 56  0.00000 -4.04931e+04 | 57  0.00000 -3.96615e+04
 58  0.00000 -3.07277e+04 | 59  0.00000 -8.44758e+03 | 60  0.00000  1.46628e+03
 61  0.00000  1.16320e+04 | 62  0.00000  1.81336e+04 | 63  0.00000  2.10604e+04
 64  0.00000  2.21917e+04 | 65  0.00000  2.19484e+04 | 66  0.00000  2.44353e+04
 67  0.00000  2.46377e+04 | 68 -0.62523 -1.35256e+03 | 69  0.01273 -1.65558e+04

Intermediate statistics: 69 variables; iteration 20; function evaluation 32; phase 1
Function value 1.2699480e+04; maximum gradient component mag -2.2149e+04
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.22958 -1.06139e+04 |  2 -0.30670  7.38885e+03 |  3 -0.05885 -2.21486e+04
  4 -0.00011  6.46772e-02 |  5 -0.00006  2.96909e-02 |  6 -0.00010  9.21131e-02
  7 -0.00017  1.54002e-01 |  8 -0.00029  2.57907e-01 |  9 -0.00050  4.31018e-01
 10 -0.00086  7.19892e-01 | 11 -0.00150  1.20365e+00 | 12 -0.00260  2.00498e+00
 13 -0.00441  3.30007e+00 | 14 -0.00723  5.31198e+00 | 15 -0.01130  8.26309e+00
 16 -0.01648  1.22747e+01 | 17 -0.02151  1.72646e+01 | 18 -0.02267  2.29791e+01
 19 -0.01241  2.94306e+01 | 20  0.01716  3.84705e+01 | 21  0.05454  6.13939e+01
 22  0.09384  1.08887e+02 | 23  0.18190  1.69291e+02 | 24  0.05808 -6.46928e+02
 25  0.08007 -5.86900e+02 | 26  0.06036 -4.73945e+02 | 27 -0.03270 -4.42438e+02
