
Initial statistics: 68 variables; iteration 0; function evaluation 0; phase 1
Function value 1.9017022e+03; maximum gradient component mag 2.4659e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.07299  2.46592e+03 |  2 -0.07379 -1.49293e+03 |  3 -0.08373 -8.01364e+01
  4 -0.00003 -2.15181e-04 |  5 -0.00003 -2.28687e-04 |  6 -0.00005 -4.46502e-04
  7 -0.00011 -8.92832e-04 |  8 -0.00022 -1.75108e-03 |  9 -0.00046 -3.41425e-03
 10 -0.00092 -6.51406e-03 | 11 -0.00186 -1.21675e-02 | 12 -0.00374 -2.19755e-02
 13 -0.00738 -3.79968e-02 | 14 -0.01388 -4.37542e-02 | 15 -0.02434 -2.40778e-02
 16 -0.03885 -4.72146e-02 | 17 -0.05517 -1.51237e-01 | 18 -0.06675 -4.40412e-01
 19 -0.05581 -1.29561e+00 | 20  0.02754 -4.90551e+00 | 21  0.03267 -6.94825e+00
 22  0.00287 -7.44233e+00 | 23  0.07673 -1.88734e+01 | 24  0.12003 -4.99822e+01
 25  0.08157 -6.03918e+01 | 26  0.08069 -1.25542e+02 | 27 -0.07208 -1.64661e+00
 28 -0.10640  9.50388e+00 | 29  0.12616 -3.12229e+02 | 30 -0.06458  8.74752e+00
 31  0.08882 -1.38971e+02 | 32  0.00705 -3.35783e+01 | 33 -0.05700  1.64806e+01
 34 -0.12884  4.82650e+01 | 35 -0.05913  2.23992e+01 | 36  0.05386 -9.67280e+01
 37  0.04157 -8.44958e+01 | 38 -0.01746 -3.08369e+01 | 39  0.08288 -1.04953e+02
 40 -0.03341  4.17677e+01 | 41 -0.04768  3.10766e+01 | 42 -0.05616  4.82990e+01
 43  0.07542 -3.43588e+01 | 44 -0.00151  1.38452e+01 | 45 -0.03263  3.34509e+01
 46  0.05275 -1.46219e+01 | 47  0.02437 -2.68512e+01 | 48 -0.09975  6.78838e+01
 49 -0.01945 -2.39308e+01 | 50 -0.05858  1.75013e+01 | 51 -0.09701  2.20916e+01
 52 -0.02383 -1.78021e+01 | 53  0.05800 -2.74077e+00 | 54 -0.01799  4.83304e+01
 55  0.12904 -3.28102e+01 | 56 -0.08258  6.06957e+01 | 57  0.06950  3.99262e+01
 58  0.12031  4.31104e+01 | 59  0.01337  1.04424e+02 | 60  0.13351  3.69354e+01
 61 -0.05749  8.87253e+01 | 62  0.00184  6.52406e+01 | 63 -0.05495  5.66892e+01
 64 -0.09184  7.17451e+01 | 65  0.07502  4.08922e+01 | 66 -0.13822  8.06049e+01
