
Initial statistics: 66 variables; iteration 0; function evaluation 0; phase 1
Function value 1.3286565e+06; maximum gradient component mag -2.4464e+05
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.23472 -5.54589e+04 |  2  0.00106 -2.44644e+05 |  3  0.03303 -3.53430e+04
  4  0.02226 -1.01078e+04 |  5  0.04223 -1.27016e+04 |  6  0.04241 -1.12749e+04
  7 -0.01813 -5.19327e+03 |  8 -0.03371 -4.10676e+03 |  9  0.01351 -4.27895e+03
 10 -0.02932 -2.67354e+03 | 11 -0.04653 -2.26316e+03 | 12  0.03806 -4.47129e+03
 13  0.00802 -3.36515e+03 | 14  0.03224 -3.64951e+03 | 15  0.00015 -2.98860e+03
 16 -0.03102 -2.41862e+03 | 17 -0.03741 -2.34777e+03 | 18 -0.04726 -2.44024e+03
 19 -0.02251 -3.06597e+03 | 20 -0.02410 -2.70220e+03 | 21  0.02436 -3.77598e+03
 22 -0.01560 -2.92904e+03 | 23  0.02174 -2.97655e+03 | 24  0.04192 -3.70601e+03
 25  0.02721 -2.84715e+03 | 26 -0.03382 -1.13065e+03 | 27  0.04045 -1.75355e+03
 28 -0.03776 -5.07456e+02 | 29 -0.01145 -4.43428e+02 | 30 -0.02766 -3.28179e+02
 31 -0.04492 -8.17987e+01 | 32 -0.00413 -1.06197e+02 | 33 -0.03532  2.03898e+02
 34 -0.02892  1.22831e+02 | 35  0.05214 -4.27097e+02 | 36  0.03049 -4.46191e+02
 37 -0.01480 -1.97753e+02 | 38  0.00157 -6.65564e+02 | 39 -0.01637 -4.41506e+02
 40  0.01030 -2.10518e+00 | 41  0.05115 -9.99577e+01 | 42 -0.03855 -2.44029e+01
 43 -0.03511 -1.03996e+02 | 44 -0.03077 -9.22697e+01 | 45  0.03213 -1.05141e+03
 46 -0.00953 -9.83714e+02 | 47  0.02518 -8.01502e+02 | 48  0.03680  2.01248e+02
 49  0.01687  1.74125e+03 | 50  0.01833  2.05480e+03 | 51  0.02769  2.37245e+03
 52 -0.00288  1.43376e+03 | 53  0.00081  1.48549e+03 | 54 -0.04873  6.10955e+02
 55  0.00086  1.00833e+03 | 56  0.02018  6.71645e+02 | 57 -0.04703  2.46809e+02
 58  0.02371  5.06941e+02 | 59 -0.00558 -6.99334e+01 | 60 -0.03754  7.88607e+02
 61 -0.03537  1.04370e+03 | 62  0.01425  1.93895e+03 | 63  0.02066  1.36923e+03
 64  0.04474  6.66425e+02 | 65 -0.03622  4.57250e+02 | 66  0.02328  3.73186e+02

Intermediate statistics: 66 variables; iteration 20; function evaluation 38; phase 1
Function value 3.4848715e+05; maximum gradient component mag 1.0452e+05
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  1.89995  1.95129e+04 |  2  0.72802  1.04519e+05 |  3  4.31173  2.26117e+02
  4  1.57918 -2.09365e+02 |  5  1.10952 -3.47045e+02 |  6  1.76089 -1.47900e+02
  7  0.22804  1.85798e+02 |  8  0.18095  1.86105e+02 |  9  0.13286  2.03850e+02
 10  0.16119  3.62986e+02 | 11  0.16209  5.14843e+02 | 12  0.14350  6.74743e+02
 13  0.22881  1.81070e+03 | 14  0.27555  3.69879e+03 | 15  0.23968  4.29632e+03
 16  0.22253  5.50859e+03 | 17  0.12863  4.03061e+03 | 18 -0.12427  7.78544e+02
 19  0.07427  5.42218e+03 | 20  0.20040  1.93888e+04 | 21  0.21428  3.02056e+04
 22  0.16788  3.08385e+04 | 23 -0.06907 -5.51391e+02 | 24  0.06725 -5.24012e+02
 25 -0.08187 -5.49623e+02 | 26 -0.48698 -4.39285e+02 | 27 -0.23614 -5.37717e+02
 28 -0.60902 -3.57315e+02 | 29 -0.56808 -3.86955e+02 | 30 -0.61424 -3.53578e+02
 31 -0.68362 -2.98725e+02 | 32 -0.57396 -3.85062e+02 | 33 -0.62595 -3.46712e+02
 34 -0.46403 -4.57982e+02 | 35  0.21708 -1.80364e+03 | 36  0.23099 -3.07708e+03
 37  0.04192 -2.19633e+03 | 38  0.83672 -1.45606e+04 | 39 -0.10019 -1.05676e+03
 40  1.30330  2.76876e+04 | 41 -0.30773 -6.45421e+02 | 42  1.16679  5.07821e+03
 43  1.05720  1.95706e+03 | 44 -0.64351 -3.54993e+02 | 45  0.99923 -4.78829e+01
 46 -0.24414 -9.95032e+02 | 47 -0.46482 -5.44991e+02 | 48  0.63216  7.63357e+03
 49 -2.05983 -9.17415e+02 | 50 -2.15026 -3.65735e+03 | 51 -2.03721 -1.64687e+03
 52 -2.01628 -1.72424e+03 | 53 -1.92882 -6.41700e+02 | 54 -1.28774  3.84165e+02
 55 -1.87677 -6.95012e+02 | 56 -1.63860  5.86809e+02 | 57 -0.57748 -6.59376e+02
 58 -1.11199  1.54619e+02 | 59 -0.13364  2.18597e+01 | 60 -1.28205  3.13903e+02
 61 -1.41463  5.22979e+02 | 62 -1.76976 -1.14230e+03 | 63 -1.75962 -5.82829e+02
 64 -1.17729  2.38586e+02 | 65 -0.79302 -2.00291e+02 | 66 -0.48125 -4.47704e+02
66 variables; iteration 40; function evaluation 66; phase 1
Function value 3.4271014e+05; maximum gradient component mag 1.9460e+05
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  1.90836  1.45236e+04 |  2  0.67022  1.94597e+05 |  3  4.01268  2.19658e+01
  4  2.77133  2.91823e+01 |  5  0.68436  6.19195e+02 |  6  4.22229  1.40904e+02
  7 -0.77814 -2.83967e+01 |  8 -0.14838 -6.28002e+00 |  9  0.13843  2.55735e+02
 10  0.13820  3.79943e+02 | 11  0.23719  1.13331e+03 | 12  0.27121  2.11760e+03
 13  0.28188  3.33757e+03 | 14  0.39340  9.42318e+03 | 15  0.36729  1.17908e+04
 16  0.30508  1.16728e+04 | 17  0.25618  1.21310e+04 | 18 -0.11220  1.06183e+03
 19  0.15994  1.25319e+04 | 20  0.28907  4.25725e+04 | 21  0.18751  3.05468e+04
 22  0.14703  3.23110e+04 | 23 -0.10268  1.88426e+03 | 24 -0.00684  1.92797e+03
 25 -0.10240  1.88726e+03 | 26 -0.69663  8.44799e+02 | 27 -0.27938  1.70703e+03
 28 -0.87244  3.64938e+02 | 29 -0.79160  5.90540e+02 | 30 -0.85973  4.00819e+02
 31 -0.96101  1.12114e+02 | 32 -0.73604  7.40647e+02 | 33 -0.70559  8.21340e+02
 34  0.03499  1.94022e+03 | 35  1.46137 -7.74577e+02 | 36  0.39665  2.29481e+02
