
Initial statistics: 51 variables; iteration 0; function evaluation 0; phase 1
Function value 3.5239772e+03; maximum gradient component mag 1.8934e+04
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.09312 -4.17031e+03 |  2 -0.03288  1.89343e+04 |  3  0.00000 -2.82398e+00
  4  0.00000 -2.07661e+00 |  5  0.00000 -2.96522e+00 |  6  0.00000 -4.79558e+00
  7  0.00000 -7.69376e+00 |  8  0.00000 -1.24145e+01 |  9  0.00000 -2.10369e+01
 10  0.00000 -3.64511e+01 | 11  0.00000 -6.08775e+01 | 12  0.00000 -9.70120e+01
 13  0.00000 -1.53193e+02 | 14  0.00000 -2.42618e+02 | 15  0.00000 -6.21107e+01
 16  0.00000 -2.27315e+02 | 17  0.00000 -2.20541e+02 | 18  0.00000  1.60862e+02
 19  0.00000  3.91462e+02 | 20  0.00000 -1.07233e+03 | 21  0.00000 -3.76788e+02
 22  0.00000 -1.11622e+03 | 23  0.00000 -4.61714e+01 | 24  0.00000  8.61856e+02
 25  0.00000  1.42248e+03 | 26  0.00000  8.13116e+02 | 27  0.00000 -2.79681e+02
 28  0.00000 -5.54545e+02 | 29  0.00000 -8.85063e+02 | 30  0.00000 -1.35429e+03
 31  0.00000 -8.03519e+02 | 32  0.00000  5.27636e+01 | 33  0.00000  1.74853e+02
 34  0.00000 -1.70389e+02 | 35  0.00000 -2.96071e+01 | 36  0.00000  2.39956e+01
 37  0.00000 -4.37671e+02 | 38  0.00000 -2.18979e+02 | 39  0.00000  6.53314e+02
 40  0.00000  8.52634e+02 | 41  0.00000  1.03602e+03 | 42  0.00000  1.07916e+03
 43  0.00000  5.23657e+02 | 44  0.00000  8.46430e+01 | 45  0.00000 -4.84796e+01
 46  0.00000 -6.10960e+02 | 47  0.00000 -1.87553e+02 | 48  0.00000 -3.05580e+02
 49  0.00000 -7.07113e+01 | 50  0.00000  4.07040e+02 | 51  0.00000  5.40650e+02

Intermediate statistics: 51 variables; iteration 20; function evaluation 30; phase 1
Function value 2.1152064e+03; maximum gradient component mag 1.5103e+04
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.04878  9.17324e+03 |  2 -0.08721  1.51025e+04 |  3  0.03181  6.18962e+00
  4  0.02263  4.41840e+00 |  5  0.03055  6.28823e+00 |  6  0.04641  1.01343e+01
  7  0.06831  1.62514e+01 |  8  0.09773  2.62462e+01 |  9  0.12948  4.03802e+01
 10  0.15814  5.77853e+01 | 11  0.17013  6.81505e+01 | 12  0.08639  3.52835e+01
 13 -0.38389 -4.09268e+01 | 14 -1.91597 -5.91884e-01 | 15  0.19213  2.48600e+02
 16  0.12777  1.91884e+02 | 17  0.06946  1.36809e+02 | 18 -0.02872  5.26447e+00
 19 -0.04723  1.32153e+02 | 20  0.08817  4.54215e+02 | 21 -0.02163  1.92281e+02
 22  0.09076  6.01906e+02 | 23 -0.01716  5.83726e+01 | 24 -0.08196 -4.66848e+01
 25 -0.14520 -1.00921e+02 | 26 -0.09650 -1.61817e+02 | 27  0.02681  1.49885e+02
 28  0.01313  1.11792e+02 | 29  0.03460  2.20582e+02 | 30  0.10050  4.48153e+02
 31  0.04555  1.33495e+02 | 32 -0.20092 -4.83786e+02 | 33 -0.08326 -4.60198e+02
 34  0.05803 -3.03750e+02 | 35 -0.09064 -5.42839e+02 | 36 -0.03579 -4.25678e+02
 37  0.03031 -5.62039e+02 | 38  0.02997 -4.37385e+02 | 39 -0.07163 -3.13601e+02
 40 -0.02581 -1.49771e+02 | 41 -0.05318 -1.60978e+02 | 42 -0.07181 -1.71456e+02
 43 -0.01487 -1.77550e+02 | 44  0.00990 -2.28359e+02 | 45 -0.03451 -2.24913e+02
