
Initial statistics: 63 variables; iteration 0; function evaluation 0; phase 1
Function value 1.2643736e+03; maximum gradient component mag -5.5771e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.09312 -5.57710e+03 |  2  0.00000  2.05064e-02 |  3  0.00000  3.19779e-02
  4  0.00000  4.85159e-02 |  5  0.00000  7.21788e-02 |  6  0.00000  1.05689e-01
  7  0.00000  1.53935e-01 |  8  0.00000  2.23349e-01 |  9  0.00000  3.27281e-01
 10  0.00000  4.80345e-01 | 11  0.00000  7.10905e-01 | 12  0.00000  1.04755e+00
 13  0.00000  1.52013e+00 | 14  0.00000  2.12685e+00 | 15  0.00000  2.74254e+00
 16  0.00000  2.84481e+00 | 17  0.00000  1.11184e+00 | 18  0.00000 -4.83831e+00
 19  0.00000 -1.83591e+01 | 20  0.00000 -4.61744e+01 | 21  0.00000 -1.02184e+02
 22  0.00000  1.77355e+02 | 23  0.00000  9.30596e+01 | 24  0.00000  1.06369e+02
 25  0.00000  2.98533e+02 | 26  0.00000  2.90137e+02 | 27  0.00000 -4.28541e+02
 28  0.00000 -1.49908e+02 | 29  0.00000 -4.94580e+02 | 30  0.00000  2.56434e+02
 31  0.00000  9.56324e+02 | 32  0.00000  1.35117e+03 | 33  0.00000  9.43818e+02
 34  0.00000  1.68317e+02 | 35  0.00000 -1.40137e+02 | 36  0.00000 -4.78706e+02
 37  0.00000 -9.07603e+02 | 38  0.00000 -3.84886e+02 | 39  0.00000  3.35005e+02
 40  0.00000  4.39516e+02 | 41  0.00000  9.39336e+01 | 42  0.00000  2.28930e+02
 43  0.00000  2.19790e+02 | 44  0.00000 -3.01273e+02 | 45  0.00000 -1.57570e+02
 46  0.00000  5.51938e+02 | 47  0.00000  6.69871e+02 | 48  0.00000  7.71340e+02
 49  0.00000  7.91852e+02 | 50  0.00000  1.83036e+02 | 51  0.00000 -3.65490e+02
 52  0.00000 -5.59055e+02 | 53  0.00000 -1.34091e+03 | 54  0.00000 -1.06767e+03
 55  0.00000 -1.32345e+03 | 56  0.00000 -1.39884e+03 | 57  0.00000 -1.06931e+03
 58  0.00000 -1.06499e+03 | 59  0.00000  3.91575e+02 | 60  0.00000  7.08002e+02
 61  0.00000  7.44550e+02 | 62  0.00000  4.95429e+02 | 63  0.00000  3.66643e+02

