
 - final statistics:
69 variables; iteration 0; function evaluation 0
Function value 6.3711e+02; maximum gradient component mag 4.8874e+00
Exit code = 0;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.20351  6.39800e-01 |  2 -0.30133 -1.64591e-01 |  3 -0.06343  7.34295e-01
  4 -0.00172  1.78599e-03 |  5 -0.00100  1.03731e-03 |  6 -0.00155  1.61655e-03
  7 -0.00242  2.50534e-03 |  8 -0.00374  3.84826e-03 |  9 -0.00575  5.92983e-03
 10 -0.00874  9.10423e-03 | 11 -0.01310  1.36218e-02 | 12 -0.01928  2.00544e-02
 13 -0.02765  2.87830e-02 | 14 -0.03842  4.02096e-02 | 15 -0.05133  5.34910e-02
 16 -0.06547  6.81538e-02 | 17 -0.07867  8.11825e-02 | 18 -0.08570  8.67372e-02
 19 -0.07486  7.06722e-02 | 20 -0.02407  3.54333e-03 | 21  0.04851 -8.91444e-02
 22  0.00272 -6.32093e-03 | 23  0.05555 -3.00296e-02 | 24  0.09855  7.83310e-02
 25  0.07211  4.91756e-02 | 26  0.06642  4.06033e-02 | 27 -0.05912 -1.96792e-01
 28 -0.08379 -4.82983e-01 | 29  0.11023 -2.19901e+00 | 30 -0.04375 -1.69298e-01
 31  0.09023 -1.89231e-01 | 32  0.00850 -8.47675e-01 | 33 -0.08361 -7.91681e-01
 34 -0.16255 -7.93866e-01 | 35 -0.03199 -1.16513e+00 | 36  0.04072 -8.10134e-01
 37  0.03487  1.65891e-01 | 38  0.00733  1.04239e+00 | 39  0.09869  4.88742e+00
 40 -0.02899  2.09703e+00 | 41 -0.04695  6.45890e-01 | 42 -0.05262 -3.19639e-01
 43  0.08519 -8.37105e-01 | 44 -0.02008 -9.78714e-01 | 45 -0.03071 -3.37610e-01
 46  0.05624  2.30640e+00 | 47  0.02702  9.14386e-01 | 48 -0.08564  6.56762e-01
 49 -0.03413  5.15750e-01 | 50 -0.04617  1.95768e-01 | 51 -0.08575 -1.37651e-01
 52 -0.04723 -1.00867e+00 | 53  0.06926 -1.28714e+00 | 54 -0.03318  5.79978e-01
 55  0.12990 -6.77253e-01 | 56 -0.03718 -6.61746e-01 | 57  0.05771  3.94618e-01
 58  0.11412 -9.26531e-01 | 59  0.03683  6.44324e-01 | 60  0.13246 -5.69783e-01
 61 -0.07283 -2.80746e-01 | 62 -0.04704 -2.73330e-01 | 63 -0.08468 -4.25236e-03
 64 -0.09538  2.37931e-01 | 65  0.07257  5.40934e-01 | 66 -0.06992 -1.79836e-02
 67 -0.02458  2.30037e-02 | 68 -0.50817 -1.06235e-01 | 69  0.01778  6.28224e-06

 - final statistics:
123 variables; iteration 0; function evaluation 0
Function value 6.3711e+02; maximum gradient component mag 4.8874e+00
Exit code = 0;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.20351  6.39800e-01 |  2 -0.01275  7.56682e-02 |  3  0.07849  1.22342e-01
  4 -0.52874  8.38109e-01 |  5 -0.51654  2.45758e+00 |  6 -0.20426 -1.80318e-01
  7  0.00484 -4.37411e-01 |  8  0.02217 -8.20232e-06 |  9  0.05832 -5.44621e-05
 10 -0.30133 -1.64591e-01 | 11 -0.06343  7.34295e-01 | 12 -0.00172  1.78599e-03
 13 -0.00100  1.03731e-03 | 14 -0.00155  1.61655e-03 | 15 -0.00242  2.50534e-03
 16 -0.00374  3.84826e-03 | 17 -0.00575  5.92983e-03 | 18 -0.00874  9.10423e-03
 19 -0.01310  1.36218e-02 | 20 -0.01928  2.00544e-02 | 21 -0.02765  2.87830e-02
 22 -0.03842  4.02096e-02 | 23 -0.05133  5.34910e-02 | 24 -0.06547  6.81538e-02
 25 -0.07867  8.11825e-02 | 26 -0.08570  8.67372e-02 | 27 -0.07486  7.06722e-02
 28 -0.02407  3.54333e-03 | 29  0.04851 -8.91444e-02 | 30  0.00272 -6.32093e-03
 31  0.05555 -3.00296e-02 | 32  0.09855  7.83310e-02 | 33  0.07211  4.91756e-02
 34  0.06642  4.06033e-02 | 35 -0.05912 -1.96792e-01 | 36 -0.08379 -4.82983e-01
 37  0.11023 -2.19901e+00 | 38 -0.04375 -1.69298e-01 | 39  0.09023 -1.89231e-01
 40  0.00850 -8.47675e-01 | 41 -0.08361 -7.91681e-01 | 42 -0.16255 -7.93866e-01
 43 -0.03199 -1.16513e+00 | 44  0.04072 -8.10134e-01 | 45  0.03487  1.65891e-01
 46  0.00733  1.04239e+00 | 47  0.09869  4.88742e+00 | 48 -0.02899  2.09703e+00
 49 -0.04695  6.45890e-01 | 50 -0.05262 -3.19639e-01 | 51  0.08519 -8.37105e-01
 52 -0.02008 -9.78714e-01 | 53 -0.03071 -3.37610e-01 | 54  0.05624  2.30640e+00
 55  0.02702  9.14386e-01 | 56 -0.08564  6.56762e-01 | 57 -0.03413  5.15750e-01
 58 -0.04617  1.95768e-01 | 59 -0.08575 -1.37651e-01 | 60 -0.04723 -1.00867e+00
 61  0.06926 -1.28714e+00 | 62 -0.03318  5.79978e-01 | 63  0.12990 -6.77253e-01
 64 -0.03718 -6.61746e-01 | 65  0.05771  3.94618e-01 | 66  0.11412 -9.26531e-01
 67  0.03683  6.44324e-01 | 68  0.13246 -5.69783e-01 | 69 -0.07283 -2.80746e-01
 70 -0.04704 -2.73330e-01 | 71 -0.08468 -4.25236e-03 | 72 -0.09538  2.37931e-01
 73  0.07257  5.40934e-01 | 74 -0.06992 -1.79836e-02 | 75 -0.02458  2.30037e-02
 76 -0.50817 -1.06235e-01 | 77  0.01778  6.28230e-06 | 78 -0.03282  6.56895e-02
 79 -0.00455  4.13187e-03 | 80 -0.00975  4.15092e-02 | 81  0.01891 -2.37235e-02
 82 -0.02954 -5.54328e-02 | 83 -0.03983 -2.71229e-02 | 84 -0.01681  5.47889e-02
 85  0.01430 -5.06280e-01 | 86 -0.06277 -1.27213e-01 | 87  0.00594  1.24806e-02
 88 -0.02729  7.41578e-02 | 89 -0.04906  4.49458e-02 | 90 -0.04628  3.53085e-02
 91 -0.00239 -6.93562e-01 | 92 -0.01736  6.52184e-01 | 93  0.02315 -1.13965e+00
 94  0.07459 -2.38685e-01 | 95 -0.03299  3.84367e-01 | 96 -0.02984  2.05208e-01
 97 -0.02153  2.60786e-01 | 98 -0.03584 -1.62059e-01 | 99 -0.06123  5.03535e-01
100 -0.05299 -1.49005e-01 |101  0.06001 -3.51071e-01 |102  0.00616  1.06554e-01
103  0.02877  3.80474e-01 |104  0.00964 -1.20433e-01 |105  0.04875  7.95458e-01
106 -0.00389 -3.67309e-01 |107 -0.02477  2.11032e-01 |108 -0.06483  1.00768e-01
109 -0.02151 -2.35757e+00 |110 -0.05639  2.28831e-01 |111  0.00302  1.18113e+00
112 -0.05296 -7.25319e-02 |113  0.01824 -5.33138e-01 |114 -0.01871  3.04506e-01
115 -0.00020 -1.16263e-01 |116  0.04261  1.27759e+00 |117  0.04892 -1.36600e-01
118  0.06250  6.69511e-02 |119  0.12709 -1.83856e-01 |120  0.03874 -1.74533e-01
121  0.04314  7.78256e-01 |122  0.02189 -4.29449e-02 |123  0.12118  2.09880e-01

Initial statistics: 303 variables; iteration 0; function evaluation 0; phase 3
Function value 6.3710928e+02; maximum gradient component mag 4.8874e+00
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.20351  6.39800e-01 |  2 -0.01275  7.56682e-02 |  3  0.07849  1.22342e-01
  4 -0.52874  8.38109e-01 |  5 -0.51654  2.45758e+00 |  6 -0.20426 -1.80318e-01
