
Initial statistics: 66 variables; iteration 0; function evaluation 0; phase 1
Function value 8.6237970e+03; maximum gradient component mag -1.5319e+05
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.47504 -1.53190e+05 |  2 -0.04090 -1.41405e+04 |  3  0.00000 -8.43455e+00
  4  0.00000 -4.32499e+00 |  5  0.00000 -6.29153e+00 |  6  0.00000 -9.34309e+00
  7  0.00000 -1.38307e+01 |  8  0.00000 -2.04027e+01 |  9  0.00000 -2.99742e+01
 10  0.00000 -4.38301e+01 | 11  0.00000 -6.37499e+01 | 12  0.00000 -9.21386e+01
 13  0.00000 -1.32196e+02 | 14  0.00000 -1.88032e+02 | 15  0.00000 -2.64584e+02
 16  0.00000 -3.66894e+02 | 17  0.00000 -4.98332e+02 | 18  0.00000 -6.57882e+02
 19  0.00000 -8.40345e+02 | 20  0.00000 -1.04386e+03 | 21  0.00000 -1.27692e+03
 22  0.00000 -1.55088e+03 | 23  0.00000  8.15198e+03 | 24  0.00000  7.50807e+03
 25  0.00000  7.45188e+03 | 26  0.00000  7.33231e+03 | 27  0.00000  6.71408e+03
 28  0.00000  5.33758e+03 | 29  0.00000  4.88775e+03 | 30  0.00000  3.77946e+03
 31  0.00000  3.64722e+03 | 32  0.00000  3.45310e+03 | 33  0.00000  2.99836e+03
 34  0.00000  1.73705e+03 | 35  0.00000  6.04104e+01 | 36  0.00000 -1.01035e+03
 37  0.00000 -1.78248e+03 | 38  0.00000 -2.37084e+03 | 39  0.00000 -1.67574e+03
 40  0.00000 -3.33709e+02 | 41  0.00000  5.98233e+02 | 42  0.00000  1.04512e+03
 43  0.00000  1.95716e+03 | 44  0.00000  2.83221e+03 | 45  0.00000  3.34324e+03
 46  0.00000  4.06111e+03 | 47  0.00000  3.30784e+03 | 48  0.00000  1.03088e+03
 49  0.00000 -2.97235e+03 | 50  0.00000 -4.84218e+03 | 51  0.00000 -4.10406e+03
 52  0.00000 -3.15520e+03 | 53  0.00000 -3.78984e+03 | 54  0.00000 -9.94644e+03
 55  0.00000 -1.53977e+04 | 56  0.00000 -1.74753e+04 | 57  0.00000 -1.79292e+04
 58  0.00000 -1.81852e+04 | 59  0.00000 -1.61706e+04 | 60  0.00000 -8.33230e+03
 61  0.00000 -4.07930e+02 | 62  0.00000  6.09522e+03 | 63  0.00000  9.35811e+03
 64  0.00000  1.02280e+04 | 65  0.00000  1.14239e+04 | 66  0.00000  1.15411e+04

Intermediate statistics: 66 variables; iteration 20; function evaluation 31; phase 1
Function value 1.3952577e+03; maximum gradient component mag 8.2984e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.49371  8.29841e+03 |  2 -0.03350  1.24725e+03 |  3 -0.00152  8.55714e-01
  4 -0.00079  4.40283e-01 |  5 -0.00117  6.35658e-01 |  6 -0.00176  9.36468e-01
  7 -0.00264  1.37099e+00 |  8 -0.00394  1.99129e+00 |  9 -0.00585  2.86194e+00
 10 -0.00864  4.05737e+00 | 11 -0.01263  5.65120e+00 | 12 -0.01828  7.68818e+00
 13 -0.02604  1.01567e+01 | 14 -0.03625  1.29586e+01 | 15 -0.04880  1.59467e+01
 16 -0.06253  1.91183e+01 | 17 -0.07419  2.30868e+01 | 18 -0.07841  2.95709e+01
 19 -0.07061  4.12592e+01 | 20 -0.05372  6.00315e+01 | 21 -0.03463  8.65673e+01
 22 -0.00835  1.27685e+02 | 23  0.06986 -8.48829e+01 | 24  0.07753  4.54482e+01
 25  0.04497 -2.27312e+01 | 26  0.01105  2.07482e+01 | 27  0.00994  1.24119e+02
 28  0.04962 -1.99206e+02 | 29  0.00865 -7.80055e+01 | 30  0.01136 -3.64784e+02
 31  0.04492  6.30015e+02 | 32 -0.00837  7.10636e+02 | 33  0.07823  2.63207e+03
 34  0.01551  1.07458e+03 | 35  0.04566  9.00862e+02 | 36  0.07815  1.21326e+03
 37  0.09383  1.22138e+03 | 38  0.08721  8.60019e+02 | 39  0.10989  1.74637e+03
 40  0.06255  1.31028e+03 | 41  0.04762  1.02293e+03 | 42  0.13074  1.79017e+03
 43 -0.00981  4.77857e+00 | 44 -1.81442  4.74773e+02 | 45  0.12867  6.00425e+02
 46  0.01202 -3.44946e+02 | 47  0.01649 -2.54659e+02 | 48 -0.13713 -6.67969e+02
 49 -0.06534 -6.90390e+02 | 50 -0.17855 -6.15888e+02 | 51  0.08076 -1.52905e+02
 52 -0.10160 -8.28799e+02 | 53  0.04207 -3.85533e+02 | 54  0.12001 -6.39784e+02
 55 -0.02006 -5.76770e+02 | 56  0.07477 -6.15222e+02 | 57  0.13293 -1.70428e+02
 58  0.11560 -1.48632e+01 | 59  0.16925  1.53574e+02 | 60  0.02953 -3.11160e+02
 61 -0.29459 -8.17261e+02 | 62 -0.92317 -9.60266e+01 | 63 -0.05385 -7.03790e+02
 64  0.14049 -5.89285e+02 | 65 -0.28073 -5.95752e+02 | 66 -0.03488 -6.28387e+02
66 variables; iteration 40; function evaluation 53; phase 1
Function value 1.3230288e+03; maximum gradient component mag 6.1849e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.53478  6.18491e+03 |  2 -0.04711  5.78839e+02 |  3 -0.00096  5.57621e-01
  4 -0.00054  2.80262e-01 |  5 -0.00083  4.01462e-01 |  6 -0.00121  5.98412e-01
  7 -0.00171  8.93068e-01 |  8 -0.00235  1.33605e+00 |  9 -0.00304  2.00773e+00
 10 -0.00372  3.02269e+00 | 11 -0.00413  4.55807e+00 | 12 -0.00417  6.83596e+00
 13 -0.00375  1.01400e+01 | 14 -0.00297  1.47862e+01 | 15 -0.00172  2.11647e+01
 16  0.00045  2.97059e+01 | 17  0.00198  3.95683e+01 | 18 -0.00789  4.38007e+01
 19 -0.04165  3.38020e+01 | 20 -0.06239  2.85930e+01 | 21 -0.02359  5.38783e+01
 22  0.04551  1.14415e+02 | 23  0.05021 -5.31738e+01 | 24  0.08068  8.53939e+01
 25  0.04232  5.56496e+01 | 26  0.04111  2.81055e+02 | 27  0.05838  5.14989e+02
 28  0.04512 -1.83943e+02 | 29  0.03855  8.86151e+01 | 30  0.00037 -3.54446e+02
 31  0.05977  7.07042e+02 | 32  0.01359  9.47440e+02 | 33  0.08458  2.51356e+03
 34  0.03144  1.21910e+03 | 35  0.05327  8.70022e+02 | 36  0.07539  9.64410e+02
 37  0.10304  1.05104e+03 | 38  0.08674  5.54378e+02 | 39  0.09368  1.09445e+03
 40  0.04179  8.98458e+02 | 41  0.05741  1.05796e+03 | 42  0.13669  1.60014e+03
 43 -0.06347 -6.10645e+01 | 44 -1.98818 -1.33871e+02 | 45  0.14266  8.42625e+02
 46  0.00625 -2.10117e+02 | 47  0.03123 -4.90446e+01 | 48 -0.23208 -4.13294e+02
 49  0.03854  1.63557e+02 | 50 -0.02647  5.62829e+01 | 51  0.08622  7.66925e+01
 52 -0.16434 -6.42551e+02 | 53  0.00928 -3.19310e+02 | 54  0.18468  3.36227e+01
 55 -0.04467 -3.51366e+02 | 56  0.07173 -6.22942e+02 | 57  0.12507 -5.15458e+02
 58  0.09094 -2.98799e+02 | 59  0.18650  7.85775e+01 | 60  0.04597 -2.15260e+02
 61 -0.42618 -4.80264e+02 | 62 -1.26731  2.29050e+02 | 63  0.07121 -9.62728e+01
 64  0.12754 -4.21799e+02 | 65 -0.74729 -1.58693e+02 | 66  0.03421 -1.77415e+02
66 variables; iteration 60; function evaluation 79; phase 1
Function value 8.3662501e+02; maximum gradient component mag 5.2703e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.48815  5.27033e+03 |  2 -0.00817  1.38094e+03 |  3 -0.07796 -1.00628e+01
  4 -0.04832 -6.25905e+00 |  5 -0.06632 -8.60876e+00 |  6 -0.08562 -1.10667e+01
  7 -0.09965 -1.27041e+01 |  8 -0.09051 -1.09182e+01 |  9 -0.02551  2.23132e-01
 10  0.04583  1.60112e+01 | 11 -0.01566  6.47329e+00 | 12 -0.11204 -9.51582e+00
 13 -0.02297  1.35875e+01 | 14 -0.00962  2.48802e+01 | 15 -0.10362  2.88865e+00
 16 -0.25567 -2.51849e+01 | 17 -0.25582 -2.34458e+01 | 18 -0.17010 -2.94740e+00
 19 -0.39973 -3.86200e+01 | 20 -0.15429  7.14450e+00 | 21 -0.08980  4.46540e+01
 22 -0.20284  4.62912e-01 | 23  0.09940  6.23592e+01 | 24  0.06384  2.32384e+01
 25  0.02990 -2.74960e+01 | 26 -0.00765  1.60551e+01 | 27 -0.01023  1.18081e+02
 28  0.06891 -4.85423e+00 | 29 -0.01812 -4.05523e+01 | 30  0.05569 -5.83810e+01
