
Initial statistics: 68 variables; iteration 0; function evaluation 0; phase 1
Function value 4.4242540e+04; maximum gradient component mag 4.1274e+05
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.33160  4.12739e+05 |  2 -0.59685 -2.21749e+05 |  3 -0.08652 -6.79198e+04
  4  0.00000 -1.99075e-03 |  5  0.00000 -4.01844e-03 |  6  0.00000 -1.20004e-02
  7  0.00000 -3.59783e-02 |  8  0.00000 -1.07295e-01 |  9  0.00000 -3.17697e-01
 10  0.00000 -9.32863e-01 | 11  0.00000 -2.71266e+00 | 12  0.00000 -7.80102e+00
 13  0.00000 -2.21557e+01 | 14  0.00000 -6.20634e+01 | 15  0.00000 -1.71204e+02
 16  0.00000 -4.62876e+02 | 17  0.00000 -1.20263e+03 | 18  0.00000 -2.81895e+03
 19  0.00000 -5.28165e+03 | 20  0.00000 -7.22732e+03 | 21  0.00000 -7.68968e+03
 22  0.00000 -7.48934e+03 | 23  0.00000 -7.30221e+03 | 24  0.00000 -7.11783e+03
 25  0.00000 -6.69800e+03 | 26  0.00000 -6.34757e+03 | 27  0.00000 -5.37841e+03
 28  0.00000 -5.00556e+03 | 29  0.00000 -8.15738e+03 | 30  0.00000 -6.52579e+03
 31  0.00000 -7.55753e+03 | 32  0.00000 -4.53963e+03 | 33  0.00000 -1.51924e+03
 34  0.00000  1.90973e+03 | 35  0.00000  3.32656e+03 | 36  0.00000  3.07986e+03
 37  0.00000  5.28350e+03 | 38  0.00000  4.88210e+03 | 39  0.00000 -4.60733e+03
 40  0.00000 -5.62133e+03 | 41  0.00000  4.37138e+03 | 42  0.00000  1.13196e+04
 43  0.00000  8.31576e+03 | 44  0.00000  9.47980e+03 | 45  0.00000  6.15422e+03
 46  0.00000 -6.50774e+02 | 47  0.00000 -2.68765e+03 | 48  0.00000  1.97913e+03
 49  0.00000  6.85045e+03 | 50  0.00000  1.33397e+04 | 51  0.00000  1.60123e+04
 52  0.00000  1.32067e+04 | 53  0.00000  2.99922e+03 | 54  0.00000 -5.74819e+03
 55  0.00000 -1.76088e+04 | 56  0.00000 -1.52823e+04 | 57  0.00000 -1.69459e+04
 58  0.00000 -1.87614e+04 | 59  0.00000 -1.71636e+04 | 60  0.00000 -1.63943e+04
 61  0.00000 -5.71081e+03 | 62  0.00000  1.82559e+03 | 63  0.00000  8.34217e+03
 64  0.00000  1.09794e+04 | 65  0.00000  1.28423e+04 | 66  0.00000  1.88845e+04
 67  0.00000  2.06455e+04 | 68  1.00000  4.33158e-07 |

