
Initial statistics: 63 variables; iteration 0; function evaluation 0; phase 1
Function value 1.1541030e+03; maximum gradient component mag -1.2343e+04
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.21066 -1.23425e+04 |  2 -0.04082 -1.38551e+03 |  3  0.00000 -2.19547e-01
  4  0.00000 -1.30917e-01 |  5  0.00000 -2.05824e-01 |  6  0.00000 -3.22278e-01
  7  0.00000 -5.01946e-01 |  8  0.00000 -7.71985e-01 |  9  0.00000 -1.18503e+00
 10  0.00000 -1.80034e+00 | 11  0.00000 -2.72043e+00 | 12  0.00000 -4.07200e+00
 13  0.00000 -6.03655e+00 | 14  0.00000 -8.86209e+00 | 15  0.00000 -1.30102e+01
 16  0.00000 -1.93318e+01 | 17  0.00000 -2.92849e+01 | 18  0.00000 -4.53359e+01
 19  0.00000 -6.99681e+01 | 20  0.00000 -1.03192e+02 | 21  0.00000 -1.46270e+02
 22  0.00000 -2.11669e+02 | 23  0.00000  2.28810e+02 | 24  0.00000  1.27261e+02
 25  0.00000  1.68160e+02 | 26  0.00000  4.74676e+02 | 27  0.00000  3.85337e+02
 28  0.00000 -4.19293e+02 | 29  0.00000 -1.20814e+02 | 30  0.00000 -5.36836e+02
 31  0.00000 -7.67345e+01 | 32  0.00000  5.80981e+02 | 33  0.00000  8.91611e+02
 34  0.00000  3.08725e+02 | 35  0.00000 -5.00685e+02 | 36  0.00000 -6.09738e+02
 37  0.00000 -6.69141e+02 | 38  0.00000 -9.78927e+02 | 39  0.00000 -1.70147e+02
 40  0.00000  5.47845e+02 | 41  0.00000  5.21490e+02 | 42  0.00000 -4.40734e+02
 43  0.00000  1.37593e+02 | 44  0.00000  2.97564e+02 | 45  0.00000 -3.11617e+02
 46  0.00000 -2.62880e+02 | 47  0.00000  6.17275e+02 | 48  0.00000  7.76601e+02
 49  0.00000  8.55534e+02 | 50  0.00000  7.35215e+02 | 51  0.00000 -1.95706e+02
 52  0.00000 -6.97420e+02 | 53  0.00000 -7.25794e+02 | 54  0.00000 -1.41395e+03
 55  0.00000 -1.02469e+03 | 56  0.00000 -1.10278e+03 | 57  0.00000 -1.07890e+03
 58  0.00000 -2.87105e+02 | 59  0.00000  2.36185e+02 | 60  0.00000  1.13251e+03
 61  0.00000  1.00323e+03 | 62  0.00000  8.17002e+02 | 63  0.00000  7.80303e+02

Intermediate statistics: 63 variables; iteration 20; function evaluation 28; phase 1
Function value 3.2252524e+02; maximum gradient component mag -1.6574e+04
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.20071 -2.40490e+03 |  2 -0.05102 -1.65745e+04 |  3 -0.00079 -2.30165e-02
  4 -0.00047 -1.36103e-02 |  5 -0.00074 -2.14231e-02 |  6 -0.00117 -3.37132e-02
  7 -0.00185 -5.31340e-02 |  8 -0.00291 -8.40539e-02 |  9 -0.00453 -1.34247e-01
 10 -0.00704 -2.17150e-01 | 11 -0.01079 -3.54137e-01 | 12 -0.01635 -5.86113e-01
 13 -0.02411 -9.65394e-01 | 14 -0.03411 -1.55082e+00 | 15 -0.04615 -2.40322e+00
 16 -0.05802 -3.44804e+00 | 17 -0.06498 -4.38642e+00 | 18 -0.05788 -4.57875e+00
 19 -0.02755 -3.47753e+00 | 20  0.01045 -8.17364e-01 | 21  0.02359  4.67730e+00
 22  0.11387  1.29093e+01 | 23  0.12992 -6.41978e+01 | 24  0.04025 -5.96176e+01
 25  0.07667 -3.55382e+01 | 26 -0.08966 -6.87619e+00 | 27 -0.08960  5.76653e+00
 28  0.12014 -4.49824e+00 | 29 -0.04009  3.17058e+01 | 30  0.10487  2.61708e+01
 31  0.01267  5.31602e+01 | 32 -0.08226  2.29285e+01 | 33 -0.20056  1.08199e+01
 34 -0.05887  1.59499e+01 | 35  0.05374 -4.10559e+01 | 36  0.04255  2.49784e+01
 37  0.01213  6.66824e+01 | 38  0.09185  9.31657e+00 | 39 -0.02705  2.87321e+01
 40 -0.07617  8.68393e+00 | 41 -0.07629  3.75088e+01 | 42  0.08799  3.53229e+02
 43 -0.01189  1.38277e+02 | 44 -0.04930  1.03767e+02 | 45  0.05741  2.53690e+02
 46  0.05030  1.91996e+02 | 47 -0.08061 -3.17346e+01 | 48 -0.05528 -1.49158e+02
 49 -0.07715 -1.11803e+02 | 50 -0.10529 -5.22377e+01 | 51  0.00179 -1.72658e+01
 52  0.06527 -6.32951e+00 | 53 -0.02068  6.17992e+01 | 54  0.13907  1.04818e+02
 55 -0.00011  6.91451e+01 | 56  0.08925  3.39877e+01 | 57  0.12634 -7.41329e+01
 58  0.02996 -4.37070e+01 | 59  0.12131 -4.68935e+01 | 60 -0.16171 -4.88810e+01
 61 -0.06473 -1.99543e+01 | 62 -0.05133 -3.11083e+01 | 63 -0.01024 -2.92353e+01
63 variables; iteration 40; function evaluation 52; phase 1
Function value 2.5163381e+02; maximum gradient component mag -4.2308e+03
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.19992 -2.30518e+02 |  2 -0.04495 -4.23080e+03 |  3  0.00132  2.70551e-01
  4  0.00079  1.61731e-01 |  5  0.00123  2.54369e-01 |  6  0.00193  4.00191e-01
  7  0.00296  6.24706e-01 |  8  0.00452  9.72513e-01 |  9  0.00667  1.48098e+00
 10  0.00957  2.22952e+00 | 11  0.01293  3.25276e+00 | 12  0.01595  4.55735e+00
 13  0.01680  5.95965e+00 | 14  0.01333  7.07949e+00 | 15  0.00416  7.43549e+00
 16 -0.00947  6.51567e+00 | 17 -0.02219  4.04519e+00 | 18 -0.02718 -1.02832e+00
 19 -0.06497 -1.39786e+01 | 20 -0.19695 -2.80609e+01 | 21 -0.06290 -1.30482e+01
 22  0.08314  1.99943e+01 | 23  0.16719  1.41687e+01 | 24  0.02762 -2.54491e+01
 25  0.08370 -1.81110e+01 | 26 -0.12383 -3.88225e+01 | 27 -0.08011  1.31410e+01
 28  0.12007  7.59591e+00 | 29 -0.05044  1.95316e+01 | 30  0.10659  2.85529e+01
 31  0.00317  6.93488e+00 | 32 -0.08352  1.23140e+00 | 33 -0.22200 -1.66613e+01
 34 -0.06336  2.35672e+00 | 35  0.06343  2.53210e+01 | 36  0.03847  1.69499e+01
 37  0.00274  4.06119e+01 | 38  0.09689  2.63924e+01 | 39 -0.03692 -1.30254e+00
 40 -0.07858 -5.32104e+00 | 41 -0.06523  3.86977e+01 | 42  0.07617  8.59553e+01
 43 -0.01285  4.03713e+01 | 44 -0.06329 -2.16950e+00 | 45  0.05157  6.62448e+01
 46  0.04313  4.81186e+01 | 47 -0.07829 -1.99006e+01 | 48 -0.03834 -2.68831e+01
 49 -0.07062 -4.72102e+01 | 50 -0.10442 -3.58692e+01 | 51  0.00386  3.31196e+00
 52  0.06749 -2.20369e+00 | 53 -0.03180  2.41438e+01 | 54  0.13815  2.94841e+01
 55 -0.00922  3.32839e+01 | 56  0.08697  1.89971e+01 | 57  0.13517 -9.31525e+00
 58  0.03294 -2.51137e+01 | 59  0.12502 -2.68164e+01 | 60 -0.15738 -5.05602e+01
 61 -0.06485 -2.52551e+01 | 62 -0.07002 -4.46287e+01 | 63  0.03785 -2.69541e+01
63 variables; iteration 60; function evaluation 80; phase 1
Function value 2.3645068e+02; maximum gradient component mag 3.3575e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.20476  3.18933e+02 |  2 -0.04179  3.35754e+02 |  3 -0.00308 -3.03917e-01
  4 -0.00217 -2.24132e-01 |  5 -0.00295 -2.91914e-01 |  6 -0.00367 -3.33368e-01
  7 -0.00396 -2.90370e-01 |  8 -0.00369 -1.25333e-01 |  9 -0.00392  4.39894e-02
 10 -0.00629  3.31803e-02 | 11 -0.00603  5.32529e-01 | 12 -0.00034  2.06518e+00
 13 -0.02349 -3.88319e-01 | 14 -0.02787  1.13532e-01 | 15 -0.03673  9.46122e-02
 16 -0.04729 -3.25019e-01 | 17 -0.04240  1.36932e+00 | 18 -0.04313  4.48476e-01
 19 -0.01412  2.19781e+00 | 20  0.01092  2.94389e+00 | 21  0.00837  4.18554e+00
 22  0.01799  4.61396e+00 | 23  0.14849  1.66286e+00 | 24  0.07754 -3.34718e+00
 25  0.07112 -6.62613e-01 | 26 -0.09373 -8.46733e+00 | 27 -0.10337 -5.53820e+00
 28  0.12467  2.37873e-01 | 29 -0.07478 -5.47682e-01 | 30  0.10932  3.02576e+00
 31  0.00247 -1.23417e+00 | 32 -0.08644 -2.92562e+00 | 33 -0.21720 -2.41693e+00
 34 -0.06517 -6.44616e-01 | 35  0.06391  6.59823e+00 | 36  0.04474  9.85731e+00
 37 -0.00718  1.16582e+01 | 38  0.10117  1.33700e+01 | 39 -0.03564  6.84169e+00
 40 -0.07223  1.95639e+00 | 41 -0.07577 -4.09691e-01 | 42  0.07646 -4.60615e+00
 43 -0.01665 -2.23468e+00 | 44 -0.05665 -1.18529e+00 | 45  0.04941 -2.73706e+00
 46  0.04229 -2.50301e+00 | 47 -0.07280 -3.15911e+00 | 48 -0.03723 -5.76365e+00
 49 -0.06429 -3.68248e+00 | 50 -0.09868 -1.52600e+00 | 51  0.00234  2.65476e+00
 52  0.07124  5.00236e+00 | 53 -0.04409  1.02935e+01 | 54  0.14197  1.09633e+01
 55 -0.02764  1.52856e+01 | 56  0.08779  1.02613e+01 | 57  0.13470  6.23330e+00
 58  0.03727  4.97336e-01 | 59  0.12217 -1.14069e+01 | 60 -0.12401 -1.81235e+01
 61 -0.07376 -1.74356e+01 | 62 -0.04481 -1.60385e+01 | 63 -0.01802 -1.77625e+01
Maximum number of function evaluations exceeded

 - final statistics:
63 variables; iteration 71; function evaluation 100
Function value 2.3514e+02; maximum gradient component mag 6.6221e+01
Exit code = 3;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.21248  1.56065e+01 |  2 -0.04044  6.62208e+01 |  3  0.00058  1.67260e-01
  4 -0.00280 -3.08651e-01 |  5  0.00026  1.20386e-01 |  6  0.00052  2.04634e-01
  7 -0.00448 -3.69850e-01 |  8 -0.00198  8.29926e-02 |  9 -0.00347  7.62604e-02
 10 -0.00944 -4.34448e-01 | 11 -0.00751  2.66102e-01 | 12 -0.01869 -6.72031e-01
 13 -0.01927  1.22476e-01 | 14 -0.02553  3.12861e-01 | 15 -0.03722 -2.19136e-01
 16 -0.04191  2.79961e-01 | 17 -0.04883 -2.85910e-01 | 18 -0.04030  9.64181e-02
 19 -0.01845 -1.38665e-01 | 20  0.00626 -7.24798e-01 | 21  0.00522 -3.55591e-01
 22  0.00417 -2.44084e+00 | 23  0.14374 -1.09440e+01 | 24  0.08829 -3.59606e+00
 25  0.06709 -5.87205e+00 | 26 -0.09127  5.32561e-01 | 27 -0.10869 -1.57939e+00
 28  0.12933 -4.59440e+00 | 29 -0.08849 -2.55738e+00 | 30  0.11394 -4.73015e+00
 31  0.00375 -7.15511e-01 | 32 -0.08466  1.19549e+00 | 33 -0.22401  2.04412e+00
 34 -0.06370  1.36698e+00 | 35  0.06696 -1.57816e+00 | 36  0.04905 -8.01567e-01
 37 -0.01145 -1.20637e+00 | 38  0.10647 -1.75094e+00 | 39 -0.03665  1.51524e+00
 40 -0.06947  2.36912e+00 | 41 -0.07615  8.13085e-02 | 42  0.08011  7.80837e-01
 43 -0.01441  1.31636e+00 | 44 -0.05599  1.29969e+00 | 45  0.05270  7.13295e-01
 46  0.04524  8.51187e-01 | 47 -0.07191  2.14082e+00 | 48 -0.03442  1.88663e+00
 49 -0.06233  2.37400e+00 | 50 -0.09822  2.67544e+00 | 51  0.00328  2.01348e+00
 52  0.07464  2.93619e+00 | 53 -0.05481  2.82667e+00 | 54  0.14739  2.98588e+00
 55 -0.05182  3.00454e+00 | 56  0.09009  2.65814e+00 | 57  0.13343  2.42122e+00
 58  0.03124  1.55795e+00 | 59  0.12149  6.73499e-01 | 60 -0.12125  2.47879e-01
 61 -0.07257 -1.72255e-01 | 62 -0.04475 -4.35496e-02 | 63 -0.01167 -2.40439e-01

Initial statistics: 66 variables; iteration 0; function evaluation 0; phase 2
Function value 2.3513612e+02; maximum gradient component mag 4.4248e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.23007 -1.61424e+02 |  2 -0.56841  4.42484e+02 |  3 -0.49239  3.71565e+02
  4 -0.21248  1.56065e+01 |  5 -0.04044  6.62208e+01 |  6  0.00058  1.67260e-01
