"Year","fishery (mt)","Total Catch (mt)"
1977,33335,33335
1978,42543,42543
1979,33761,33761
1980,35058,35058
1981,56507,56507
1982,61104,61104
1983,94801,94801
1984,125103,125103
1985,143447,143447
1986,135605,135605
1987,149903,149903
1988,203071,203071
1989,178323,178323
1990,172067,172067
1991,210241,210241
1992,164210,164210
1993,133186,133186
1994,172263,172263
1995,228498,228498
1996,209067,209067
1997,232601,232601
1998,158529,158529
1999,145867,145867
2000,151376,151376
2001,142542,142542
2002,166555,166555
2003,175443,175443
2004,183748,183748
2005,182940,182940
2006,168818,168818
2007,140129,140129
2008,139802,139802
2009,147174,147174
2010,142844,142844
2011,209201,209201
2012,232623,232623
2013,236691,236691
2014,238718,238718
2015,232829,232829
2016,247620,247620
2017,237851,237851
2018,199867,199867
2019,178904,178904
2020,155665,155665
2021,121749,121749
2022,148810,148810
2023,143541,143541
2024,165659,165659
